种子ID,星区数量,磁石总数,蓝巨星总数,0型恒星总数
87248631,32,24,0,1
34581114,48,22,1,3
33283970,59,22,0,4
62043046,43,20,1,1
67229060,44,20,0,2
37283943,48,20,0,4
45285901,63,20,0,3
10524158,64,20,1,2
37095612,35,19,0,2
36751458,36,19,1,1
67229060,36,19,0,2
12472015,37,19,2,1
51162153,37,19,1,2
66485780,35,18,2,2
27409620,37,18,0,1
96790926,59,18,0,2
21693895,63,18,2,3
38978484,64,18,0,3
39860992,32,17,0,2
98828496,35,17,0,1
51162153,38,17,1,2
26763813,40,17,0,1
33097326,40,17,0,1
47459582,40,17,0,2
35069899,42,17,0,3
45449229,50,17,0,3
11024863,57,17,0,2
2194533,62,17,1,2
3904100,64,17,2,4
33844715,64,17,0,2
4789871,32,16,0,4
4789871,33,16,0,4
17410963,33,16,1,1
24702318,33,16,0,1
76978849,33,16,0,2
77191967,33,16,1,2
46301486,34,16,0,2
36049509,36,16,1,1
68194873,36,16,1,3
95081549,37,16,0,1
57022326,38,16,0,2
59823316,38,16,0,2
38463941,39,16,0,2
59694136,39,16,0,3
61325828,39,16,0,2
97874815,40,16,1,1
6706196,41,16,1,2
54092734,41,16,1,3
80780923,41,16,2,1
88959046,41,16,1,1
7060775,42,16,1,3
22831341,45,16,0,2
46115239,45,16,2,3
64862246,45,16,1,1
22831341,46,16,0,3
36647849,47,16,1,3
50293156,47,16,0,3
64215027,47,16,1,3
95477788,47,16,0,2
6143546,48,16,1,3
76375561,48,16,0,2
77132057,48,16,1,2
34581114,49,16,1,3
18191582,51,16,1,2
43830848,56,16,0,2
84270155,57,16,0,1
90355606,57,16,0,2
31765624,58,16,1,2
55101823,58,16,0,2
50837078,59,16,1,3
60537164,59,16,1,1
98172010,59,16,1,3
34862996,60,16,0,3
50030040,60,16,1,4
51045914,60,16,1,3
81088879,60,16,1,3
81911097,61,16,0,3
35557938,62,16,1,2
15962179,63,16,1,2
30436651,64,16,0,4
1238133,32,15,0,2
17520663,32,15,1,3
59125554,32,15,2,2
75733867,32,15,1,3
96802111,32,15,2,2
36121390,33,15,0,1
65440984,33,15,2,2
71039732,33,15,0,1
73521119,33,15,1,2
76838397,34,15,0,1
48379755,35,15,0,2
60406271,35,15,0,1
67229060,35,15,0,2
61998914,36,15,1,2
67982675,36,15,0,1
30009821,37,15,0,1
61998914,37,15,1,2
64089886,37,15,0,3
59280957,38,15,0,1
61325828,38,15,0,2
50989859,39,15,2,2
38463941,40,15,0,2
62506478,40,15,1,1
10026518,41,15,1,2
23710558,41,15,0,2
70281840,41,15,1,1
76725386,41,15,1,2
22619577,42,15,2,3
65399479,42,15,2,3
7060775,43,15,1,3
22619577,43,15,2,3
93280782,43,15,0,2
5258277,44,15,0,2
11924320,44,15,1,3
63326092,46,15,0,4
19159473,47,15,0,1
29120741,49,15,0,1
47111935,49,15,1,1
49502050,49,15,1,5
33990377,50,15,0,2
80341049,50,15,0,2
2328173,51,15,0,2
67244093,51,15,0,3
80341049,51,15,0,2
67244093,52,15,0,3
7813819,54,15,1,3
30453078,54,15,1,2
54755574,55,15,0,1
94079813,55,15,2,3
17671406,56,15,1,4
95086062,56,15,0,1
42787098,58,15,0,2
90355606,58,15,0,2
11606539,60,15,0,3
81944965,62,15,0,2
87864293,62,15,1,2
11587956,63,15,0,2
16453237,64,15,0,3
66779502,64,15,0,2
26287381,32,14,0,1
6776182,33,14,1,2
11778697,33,14,0,3
35580575,33,14,1,3
54848403,33,14,2,1
73103874,33,14,0,1
6776182,34,14,1,2
17288473,34,14,0,2
18341036,34,14,1,1
26484758,34,14,1,2
76956590,34,14,1,1
77191967,34,14,1,2
24767852,35,14,0,1
39409139,35,14,0,1
41963331,35,14,0,2
43190756,36,14,2,1
43418836,36,14,0,1
44804765,36,14,0,2
62531569,36,14,0,2
22620146,37,14,0,2
47038724,37,14,0,3
67229060,37,14,0,2
98192059,37,14,0,3
14857842,38,14,1,2
22533478,38,14,1,1
44667272,38,14,0,1
76128466,38,14,0,2
81519727,38,14,0,3
12178662,39,14,0,1
26252897,39,14,0,1
95411928,39,14,1,2
13058065,40,14,0,1
55165672,40,14,1,2
98633626,40,14,1,2
16915889,41,14,0,2
73970785,41,14,0,1
87576446,41,14,1,2
7548806,42,14,1,2
19836145,42,14,1,1
37411389,44,14,0,2
89488947,44,14,1,2
11924320,45,14,1,3
20925595,45,14,0,2
23706480,45,14,0,2
43618774,48,14,0,3
64215027,48,14,0,3
66719080,48,14,0,3
68486322,48,14,1,2
89337926,48,14,0,2
37283943,49,14,0,3
43618774,49,14,0,3
53911967,49,14,1,4
56339090,49,14,1,1
