种子ID,星区数量,磁石总数,蓝巨星总数,0型恒星总数
3654188,64,3,0,3
4121953,64,5,1,1
4493654,64,3,1,3
12890917,64,2,1,2
13205504,64,2,1,3
17139324,64,6,0,2
18503949,64,5,0,3
21658431,64,7,1,2
26116469,64,2,0,4
34378603,64,5,1,2
34804162,64,3,1,3
38978484,64,18,0,3
39313801,64,13,1,2
43203581,64,12,0,1
48164553,64,4,1,3
48984092,64,3,2,2
53330352,64,4,0,4
55892103,64,6,0,3
63370162,64,5,1,3
63484380,64,3,0,2
66779502,64,15,0,2
67255521,64,3,0,2
67435847,64,2,0,3
70265365,64,2,1,4
70602837,64,6,2,3
74509256,64,4,0,1
78092589,64,6,0,1
78345564,64,3,0,2
79227918,64,13,0,1
85547807,64,3,1,6
93200235,64,3,1,2
97802893,64,6,0,3
99626253,64,5,1,4
2182975,63,13,0,1
3654188,63,3,0,3
5115016,63,4,2,3
6942493,63,12,0,3
13205504,63,3,1,2
17139324,63,2,0,2
19506589,63,3,1,1
34683559,63,13,1,2
34804162,63,3,1,3
38591667,63,3,0,3
40395876,63,11,1,2
48164553,63,5,1,3
52920636,63,4,0,2
55892103,63,6,0,3
59030830,63,3,0,1
59260839,63,4,0,1
62326447,63,6,0,1
63484380,63,2,0,2
66779502,63,11,0,2
67435847,63,2,0,2
70265365,63,4,1,4
70602837,63,5,2,2
77726190,63,3,1,3
84119972,63,8,0,5
85547807,63,2,1,5
93200235,63,2,1,1
93523006,63,6,1,1
93786442,63,3,1,3
97533730,63,4,1,2
97802893,63,7,0,3
99626253,63,5,1,3
3654188,62,3,0,3
17139324,62,3,0,2
22465049,62,7,0,2
23007277,62,2,1,2
35557938,62,16,1,2
40013341,62,6,2,5
40972752,62,10,0,1
55892103,62,7,0,3
60228129,62,4,1,2
63484380,62,4,0,2
66779502,62,10,0,2
67056477,62,5,0,3
67435847,62,2,0,2
70265365,62,7,0,3
70602837,62,5,1,2
73173208,62,3,1,2
84119972,62,6,1,4
91626025,62,3,1,2
93786442,62,4,1,3
96025930,62,10,1,1
97802893,62,6,1,4
99626253,62,11,0,3
2328173,61,4,0,4
3654188,61,2,0,3
7190229,61,7,1,1
11925003,61,6,0,2
13289908,61,9,0,2
14581839,61,7,1,3
17139324,61,4,0,4
20767670,61,9,0,1
22465049,61,3,0,2
32541484,61,7,0,3
35557938,61,12,1,2
36744158,61,4,1,2
39569874,61,3,1,1
40013341,61,6,1,5
47322911,61,6,1,2
47953826,61,10,2,3
50760997,61,7,1,1
51017539,61,6,1,1
51892352,61,3,0,1
52464382,61,4,0,2
55892103,61,7,0,2
55910605,61,4,1,1
65923332,61,14,0,2
66779502,61,7,0,2
67056477,61,4,0,2
67435847,61,2,1,2
70265365,61,5,0,3
70602837,61,5,1,1
73173208,61,3,1,2
79499710,61,7,0,2
84119972,61,7,1,4
95515529,61,3,0,3
97802893,61,6,1,3
98428808,61,7,1,3
99626253,61,9,0,3
99917306,61,10,1,3
3654188,60,3,1,3
3909986,60,2,0,2
4471216,60,5,0,2
13836946,60,5,1,2
